PROCEDURE_CODE,DRUG_NAME_WITH_FORM_STRENGTH,DOSAGE_FORM,CLAIM_COUNT,CLAIMS_FREQUENCY_PERCENTAGE,DISTINCT_MEMBERS,MEMBER_PERCENTAGE,TOTAL_BENEFIT_AMOUNT,BENEFIT_PERCENTAGE
29300013901,Divalproex Sodium 250MG Tablet Delayed Release,TBEC,7,0.01%,3,0.01%,  173 ,0.00%
47781035711,Buprenorphine HCl-Naloxone HCl 8-2MG Film,FILM,1,0.00%,1,0.00%,  173 ,0.00%
13668048201,Minocycline HCl 50MG Capsule,CAPS,5,0.00%,4,0.01%,  173 ,0.00%
00093400028,Vestura 3-0.02MG Tablet,TABS,3,0.00%,1,0.00%,  173 ,0.00%
51672417005,Na Sulfate-K Sulfate-Mg Sulf 17.5-3.13-1.6GM/177ML Solution,SOLN,2,0.00%,2,0.00%,  173 ,0.00%
70010006510,metFORMIN HCl 1000MG Tablet,TABS,10,0.01%,8,0.01%,  173 ,0.00%
69452022820,Amphetamine Sulfate 10MG Tablet,TABS,3,0.00%,1,0.00%,  173 ,0.00%
13668021730,ARIPiprazole 5MG Tablet,TABS,8,0.01%,6,0.01%,  173 ,0.00%
51862048601,Trimethoprim 100MG Tablet,TABS,5,0.00%,2,0.00%,  173 ,0.00%
50228011690,Rosuvastatin Calcium 5MG Tablet,TABS,8,0.01%,5,0.01%,  172 ,0.00%
16714098801,Rosuvastatin Calcium 5MG Tablet,TABS,6,0.01%,3,0.01%,  172 ,0.00%
71921021650,Glimepiride 4MG Tablet,TABS,5,0.00%,3,0.01%,  172 ,0.00%
23155050110,hydrOXYzine HCl 25MG Tablet,TABS,10,0.01%,3,0.01%,  172 ,0.00%
29300011110,lamoTRIgine 25MG Tablet,TABS,7,0.01%,3,0.01%,  172 ,0.00%
42806060309,Venlafaxine HCl ER 150MG Capsule Extended Release 24 Hour,CP24,6,0.01%,6,0.01%,  172 ,0.00%
13668033205,traZODone HCl 150MG Tablet,TABS,7,0.01%,5,0.01%,  172 ,0.00%
68462022690,Ezetimibe 10MG Tablet,TABS,7,0.01%,5,0.01%,  172 ,0.00%
70756042322,Omega-3-acid Ethyl Esters 1GM Capsule,CAPS,5,0.00%,1,0.00%,  172 ,0.00%
53746061701,traMADol-Acetaminophen 37.5-325MG Tablet,TABS,7,0.01%,4,0.01%,  172 ,0.00%
00169300425,NovoLIN N FlexPen ReliOn 100UNIT/ML Suspension Peninjector,SUPN,4,0.00%,2,0.00%,  172 ,0.00%
68462026210,Rosuvastatin Calcium 10MG Tablet,TABS,7,0.01%,5,0.01%,  172 ,0.00%
29300014001,Divalproex Sodium 500MG Tablet Delayed Release,TBEC,8,0.01%,3,0.01%,  171 ,0.00%
59762500801,miSOPROStol 200MCG Tablet,TABS,6,0.01%,6,0.01%,  171 ,0.00%
69238120302,Buprenorphine 10MCG/HR Patch Weekly,PTWK,1,0.00%,1,0.00%,  171 ,0.00%
71610054360,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,TB24,7,0.01%,5,0.01%,  171 ,0.00%
68382052860,Cholestyramine 4GM Packet,PACK,2,0.00%,1,0.00%,  171 ,0.00%
80681013100,Vitamin D3 125 MCG(5000 UT) Capsule,CAPS,25,0.02%,11,0.02%,  171 ,0.00%
00185012901,Bumetanide 1MG Tablet,TABS,3,0.00%,3,0.01%,  171 ,0.00%
23155013301,Doxycycline Monohydrate 50MG Tablet,TABS,4,0.00%,2,0.00%,  171 ,0.00%
42385097711,metFORMIN HCl ER 500MG Tablet Extended Release 24 HR,TB24,9,0.01%,7,0.01%,  171 ,0.00%
31722061290,Pregabalin 75MG Capsule,CAPS,8,0.01%,3,0.01%,  171 ,0.00%
45802006436,Triamcinolone Acetonide 0.1% Cream,CREA,7,0.01%,7,0.01%,  171 ,0.00%
70010092710,Gabapentin 300MG Capsule,CAPS,8,0.01%,3,0.01%,  171 ,0.00%
00185067401,hydrOXYzine Pamoate 25MG Capsule,CAPS,16,0.01%,12,0.02%,  170 ,0.00%
70710116201,Meclizine HCl 25MG Tablet,TABS,14,0.01%,12,0.02%,  170 ,0.00%
71205039710,Oseltamivir Phosphate 75MG Capsule,CAPS,6,0.01%,6,0.01%,  170 ,0.00%
67877022401,Gabapentin 400MG Capsule,CAPS,4,0.00%,2,0.00%,  170 ,0.00%
05244002547,"Extended Infusion Set 23""/9mm  Miscellaneous",MISC,1,0.00%,1,0.00%,  170 ,0.00%
60758011910,prednisoLONE Acetate 1% Suspension,SUSP,3,0.00%,2,0.00%,  170 ,0.00%
00168034646,Terconazole 0.4% Cream,CREA,6,0.01%,6,0.01%,  170 ,0.00%
49281056415,Quadracel 0.5ML Suspension Prefilled Syringe,SUSY,1,0.00%,1,0.00%,  170 ,0.00%
72516003301,Metoprolol Succinate ER 200MG Tablet Extended Release 24 HR,TB24,4,0.00%,4,0.01%,  170 ,0.00%
33342042207,Lurasidone HCl 80MG Tablet,TABS,7,0.01%,3,0.01%,  170 ,0.00%
33342032980,Triamcinolone Acetonide 0.1% Cream,CREA,8,0.01%,7,0.01%,  170 ,0.00%
65162037210,Oxybutynin Chloride ER 10MG Tablet Extended Release 24 HR,TB24,4,0.00%,3,0.01%,  170 ,0.00%
69452031132,Dicyclomine HCl 20MG Tablet,TABS,3,0.00%,3,0.01%,  169 ,0.00%
47335023583,Methotrexate Sodium 2.5MG Tablet,TABS,2,0.00%,1,0.00%,  169 ,0.00%
68001061403,buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR,TB24,8,0.01%,4,0.01%,  169 ,0.00%
60505036301,Ofloxacin 0.3% Solution,SOLN,8,0.01%,8,0.01%,  169 ,0.00%
70436016601,Metoprolol Succinate ER 100MG Tablet Extended Release 24 HR,TB24,4,0.00%,3,0.01%,  169 ,0.00%
00904578561,FLUoxetine HCl 20MG Capsule,CAPS,5,0.00%,5,0.01%,  169 ,0.00%
60505016401,fluvoxaMINE Maleate 25MG Tablet,TABS,8,0.01%,2,0.00%,  168 ,0.00%
16571086950,Gabapentin 400MG Capsule,CAPS,10,0.01%,4,0.01%,  168 ,0.00%
00054982831,predniSONE 5MG Tablet,TABS,11,0.01%,8,0.01%,  168 ,0.00%
68645058359,metFORMIN HCl 850MG Tablet,TABS,10,0.01%,3,0.01%,  168 ,0.00%
65162011510,HYDROcodone-Acetaminophen 7.5-325MG Tablet,TABS,9,0.01%,7,0.01%,  168 ,0.00%
67877029860,Cholestyramine 4GM Packet,PACK,2,0.00%,2,0.00%,  168 ,0.00%
08214054080,Kroger Pen Needles 32G X 4 MM Miscellaneous,MISC,7,0.01%,5,0.01%,  168 ,0.00%
00121093304,Pseudoeph-Bromphen-DM 30-2-10MG/5ML Syrup,SYRP,7,0.01%,7,0.01%,  168 ,0.00%
45802096694,Erythromycin 2% Gel,GEL,2,0.00%,1,0.00%,  168 ,0.00%
59267100002,#N/A,SUSP,1,0.00%,1,0.00%,  168 ,0.00%
60219204301,Dexamethasone 4MG Tablet,TABS,10,0.01%,6,0.01%,  167 ,0.00%
42799081201,prednisoLONE Sodium Phosphate 10MG/5ML Solution,SOLN,1,0.00%,1,0.00%,  167 ,0.00%
59746017306,predniSONE 10MG Tablet,TABS,17,0.01%,14,0.02%,  167 ,0.00%
00378040301,Spironolactone-HCTZ 25-25MG Tablet,TABS,8,0.01%,2,0.00%,  167 ,0.00%
70010013901,Naproxen 500MG Tablet,TABS,4,0.00%,2,0.00%,  167 ,0.00%
59651033950,Minocycline HCl 100MG Tablet,TABS,3,0.00%,3,0.01%,  167 ,0.00%
00591321630,Testosterone 25 MG/2.5GM(1%) Gel,GEL,1,0.00%,1,0.00%,  167 ,0.00%
00143968225,Glycopyrrolate 0.2MG/ML Solution,SOLN,4,0.00%,4,0.01%,  167 ,0.00%
31722006601,buPROPion HCl ER (SR) 100MG Tablet Extended Release 12 HR,TB12,7,0.01%,2,0.00%,  167 ,0.00%
62135021010,Folic Acid 1MG Tablet,TABS,30,0.03%,9,0.02%,  167 ,0.00%
67877025001,QUEtiapine Fumarate 100MG Tablet,TABS,6,0.01%,6,0.01%,  167 ,0.00%
16571074309,Glycopyrrolate 1MG Tablet,TABS,5,0.00%,3,0.01%,  167 ,0.00%
00093738498,Venlafaxine HCl ER 37.5MG Capsule Extended Release 24 Hour,CP24,5,0.00%,1,0.00%,  167 ,0.00%
65862011701,Benazepril HCl 20MG Tablet,TABS,10,0.01%,3,0.01%,  167 ,0.00%
68180097001,Levothyroxine Sodium 112MCG Tablet,TABS,17,0.01%,1,0.00%,  167 ,0.00%
14539067401,hydrOXYzine Pamoate 25MG Capsule,CAPS,13,0.01%,10,0.02%,  167 ,0.00%
60758011915,prednisoLONE Acetate 1% Suspension,SUSP,2,0.00%,2,0.00%,  167 ,0.00%
56151173201,"TRUEplus Insulin Syringe 31G X 5/16""0.5 ML Miscellaneous",MISC,7,0.01%,1,0.00%,  166 ,0.00%
47781010444,Estradiol 0.1MG/GM Cream,CREA,3,0.00%,2,0.00%,  166 ,0.00%
65862018830,Ondansetron HCl 8MG Tablet,TABS,13,0.01%,8,0.01%,  166 ,0.00%
68645060890,Lisinopril 2.5MG Tablet,TABS,18,0.02%,9,0.02%,  166 ,0.00%
69315090505,LORazepam 1MG Tablet,TABS,15,0.01%,9,0.02%,  166 ,0.00%
68382000116,PARoxetine HCl 40MG Tablet,TABS,7,0.01%,2,0.00%,  166 ,0.00%
72516001301,Amphetamine-Dextroamphetamine 15MG Tablet,TABS,6,0.01%,2,0.00%,  166 ,0.00%
59651000205,Omeprazole 20MG Capsule Delayed Release,CPDR,13,0.01%,5,0.01%,  166 ,0.00%
43063088430,Liothyronine Sodium 25MCG Tablet,TABS,1,0.00%,1,0.00%,  166 ,0.00%
13668013605,Escitalopram Oxalate 10MG Tablet,TABS,12,0.01%,2,0.00%,  166 ,0.00%
51862089601,Tilia Fe 1-20/1-30/1-35MG-MCG Tablet,TABS,2,0.00%,2,0.00%,  166 ,0.00%
31722072320,levoFLOXacin 750MG Tablet,TABS,8,0.01%,8,0.01%,  166 ,0.00%
00781107701,ALPRAZolam 0.5MG Tablet,TABS,7,0.01%,6,0.01%,  166 ,0.00%
16714040803,Larin 1/20 1-20MG-MCG Tablet,TABS,13,0.01%,2,0.00%,  166 ,0.00%
55150022505,Rocuronium Bromide 50MG/5ML Solution,SOLN,3,0.00%,3,0.01%,  166 ,0.00%
00338004904,Sodium Chloride 0.9% Solution,SOLN,6,0.01%,6,0.01%,  166 ,0.00%
45802014167,Ciclopirox 8% Solution,SOLN,7,0.01%,7,0.01%,  165 ,0.00%
65862009620,Cefpodoxime Proxetil 200MG Tablet,TABS,2,0.00%,2,0.00%,  165 ,0.00%
00074445604,Ultane  Solution,SOLN,5,0.00%,5,0.01%,  165 ,0.00%
21922000101,Fluocinonide 0.05% Solution,SOLN,6,0.01%,5,0.01%,  165 ,0.00%
00093081301,Nortriptyline HCl 75MG Capsule,CAPS,4,0.00%,2,0.00%,  165 ,0.00%
00074455290,Synthroid 50MCG Tablet,TABS,7,0.01%,3,0.01%,  165 ,0.00%
31722006660,buPROPion HCl ER (SR) 100MG Tablet Extended Release 12 HR,TB12,9,0.01%,3,0.01%,  165 ,0.00%
42806014731,Azithromycin 100MG/5ML Suspension Reconstituted,SUSR,6,0.01%,5,0.01%,  165 ,0.00%
13107003105,Mirtazapine 15MG Tablet,TABS,10,0.01%,9,0.02%,  165 ,0.00%
68788792901,Levothyroxine Sodium 100MCG Tablet,TABS,6,0.01%,6,0.01%,  165 ,0.00%
68462028169,Brimonidine Tartrate-Timolol 0.2-0.5% Solution,SOLN,3,0.00%,1,0.00%,  165 ,0.00%
00378827091,Albuterol Sulfate (2.5 MG/3ML)0.083% Nebulization Solution,NEBU,4,0.00%,2,0.00%,  164 ,0.00%
00168000680,Triamcinolone Acetonide 0.1% Ointment,OINT,5,0.00%,5,0.01%,  164 ,0.00%
16714022901,Carvedilol Phosphate ER 40MG Capsule Extended Release 24 Hour,CP24,1,0.00%,1,0.00%,  164 ,0.00%
70756061030,Ofloxacin 0.3% Solution,SOLN,4,0.00%,4,0.01%,  164 ,0.00%
16729003516,Anastrozole 1MG Tablet,TABS,26,0.02%,4,0.01%,  164 ,0.00%
16714063301,Alendronate Sodium 70MG Tablet,TABS,13,0.01%,6,0.01%,  164 ,0.00%
43598043611,Nitroglycerin 0.4MG Tablet Sublingual,SUBL,8,0.01%,7,0.01%,  164 ,0.00%
60760086090,Lisinopril-hydroCHLOROthiazide 10-12.5MG Tablet,TABS,5,0.00%,5,0.01%,  164 ,0.00%
60505622502,Brimonidine Tartrate-Timolol 0.2-0.5% Solution,SOLN,1,0.00%,1,0.00%,  164 ,0.00%
21922005005,Clindamycin-Tretinoin 1.2-0.025% Gel,GEL,1,0.00%,1,0.00%,  164 ,0.00%
13668035430,Nebivolol HCl 5MG Tablet,TABS,3,0.00%,2,0.00%,  164 ,0.00%
68682030030,Clindamycin-Tretinoin 1.2-0.025% Gel,GEL,1,0.00%,1,0.00%,  164 ,0.00%
69238134301,Etodolac 500MG Tablet,TABS,3,0.00%,3,0.01%,  164 ,0.00%
45802000403,Hydrocortisone 2.5% Cream,CREA,18,0.02%,8,0.01%,  163 ,0.00%
62332004690,Valsartan 160MG Tablet,TABS,5,0.00%,4,0.01%,  163 ,0.00%
00187000520,Altreno 0.05% Lotion,LOTN,3,0.00%,2,0.00%,  163 ,0.00%
59762040101,Sucralfate 1GM Tablet,TABS,8,0.01%,4,0.01%,  163 ,0.00%
00555906458,Kelnor 1/35 1-35MG-MCG Tablet,TABS,6,0.01%,2,0.00%,  163 ,0.00%
49281042350,Fluzone Quadrivalent 0.5ML Suspension Prefilled Syringe,SUSY,4,0.00%,4,0.01%,  163 ,0.00%
68180096509,Levothyroxine Sodium 25MCG Tablet,TABS,12,0.01%,6,0.01%,  163 ,0.00%
62332003960,lamoTRIgine 150MG Tablet,TABS,10,0.01%,1,0.00%,  163 ,0.00%
72888000801,traMADol HCl 100MG Tablet,TABS,1,0.00%,1,0.00%,  163 ,0.00%
27808022401,Paliperidone ER 6MG Tablet Extended Release 24 HR,TB24,2,0.00%,1,0.00%,  163 ,0.00%
43547052503,Nebivolol HCl 5MG Tablet,TABS,8,0.01%,5,0.01%,  163 ,0.00%
68180037809,Losartan Potassium 100MG Tablet,TABS,7,0.01%,4,0.01%,  163 ,0.00%
31722006860,buPROPion HCl ER (SR) 200MG Tablet Extended Release 12 HR,TB12,2,0.00%,2,0.00%,  162 ,0.00%
00409116202,Bupivacaine HCl (PF) 0.5% Solution,SOLN,7,0.01%,6,0.01%,  162 ,0.00%
68462027030,Atomoxetine HCl 80MG Capsule,CAPS,3,0.00%,2,0.00%,  162 ,0.00%
68462026405,Rosuvastatin Calcium 40MG Tablet,TABS,6,0.01%,3,0.01%,  162 ,0.00%
24338000790,Adthyza 60MG Tablet,TABS,3,0.00%,2,0.00%,  162 ,0.00%
16729045717,Levothyroxine Sodium 200MCG Tablet,TABS,11,0.01%,3,0.01%,  162 ,0.00%
67877019710,amLODIPine Besylate 2.5MG Tablet,TABS,17,0.01%,11,0.02%,  162 ,0.00%
67877051210,Atorvastatin Calcium 20MG Tablet,TABS,9,0.01%,5,0.01%,  162 ,0.00%
23155014201,Doxycycline Hyclate 100MG Tablet Delayed Release,TBEC,2,0.00%,2,0.00%,  162 ,0.00%
70710144504,Clindamycin Phos-Benzoyl Perox 1.2-5% Gel,GEL,4,0.00%,3,0.01%,  162 ,0.00%
43547042403,Losartan Potassium-HCTZ 100-25MG Tablet,TABS,7,0.01%,4,0.01%,  161 ,0.00%
51672140700,Tretinoin 0.025% Cream,CREA,8,0.01%,6,0.01%,  161 ,0.00%
57664037688,Dexmethylphenidate HCl 2.5MG Tablet,TABS,6,0.01%,2,0.00%,  161 ,0.00%
00378462026,Estradiol 0.0375MG/24HR Patch Twice Weekly,PTTW,1,0.00%,1,0.00%,  161 ,0.00%
59651017501,Doxepin HCl 50MG Capsule,CAPS,5,0.00%,2,0.00%,  161 ,0.00%
65862078090,Olmesartan Medoxomil-HCTZ 40-12.5MG Tablet,TABS,4,0.00%,1,0.00%,  161 ,0.00%
58657067601,Ciprofloxacin HCl 500MG Tablet,TABS,16,0.01%,15,0.03%,  161 ,0.00%
27808015701,Rosuvastatin Calcium 20MG Tablet,TABS,6,0.01%,3,0.01%,  161 ,0.00%
43547030009,Olmesartan Medoxomil 20MG Tablet,TABS,11,0.01%,4,0.01%,  160 ,0.00%
00378912398,fentaNYL 75MCG/HR Patch 72 HR,PT72,2,0.00%,1,0.00%,  160 ,0.00%
66993079097,"Fluticasone Propionate Diskus 50MCG/ACT Aerosol Powder, Breath Activated",AEPB,1,0.00%,1,0.00%,  160 ,0.00%
67877088901,Famotidine 40MG Tablet,TABS,14,0.01%,5,0.01%,  160 ,0.00%
70377005512,Esomeprazole Magnesium 20MG Capsule Delayed Release,CPDR,3,0.00%,2,0.00%,  160 ,0.00%
68462016505,Carvedilol 25MG Tablet,TABS,18,0.02%,9,0.02%,  160 ,0.00%
68645059459,Famotidine 20MG Tablet,TABS,24,0.02%,10,0.02%,  160 ,0.00%
50090281500,levETIRAcetam 500MG Tablet,TABS,3,0.00%,2,0.00%,  160 ,0.00%
00781613948,Amoxicillin-Pot Clavulanate 600-42.9MG/5ML Suspension Reconstituted,SUSR,3,0.00%,3,0.01%,  160 ,0.00%
65862053502,Amoxicillin-Pot Clavulanate 600-42.9MG/5ML Suspension Reconstituted,SUSR,3,0.00%,3,0.01%,  160 ,0.00%
57237016290,Omeprazole 40MG Capsule Delayed Release,CPDR,7,0.01%,4,0.01%,  160 ,0.00%
16714098002,Esomeprazole Magnesium 40MG Capsule Delayed Release,CPDR,7,0.01%,2,0.00%,  159 ,0.00%
50090629200,FreeStyle Libre 2 Reader  Device,DEVI,1,0.00%,1,0.00%,  159 ,0.00%
13668046430,Lurasidone HCl 20MG Tablet,TABS,8,0.01%,1,0.00%,  159 ,0.00%
43547027010,rOPINIRole HCl 1MG Tablet,TABS,10,0.01%,6,0.01%,  159 ,0.00%
68001043000,Ramipril 5MG Capsule,CAPS,9,0.01%,3,0.01%,  159 ,0.00%
j0665,#N/A,#N/A,3,0.00%,3,0.01%,  159 ,0.00%
16571041110,Ciprofloxacin HCl 250MG Tablet,TABS,6,0.01%,6,0.01%,  159 ,0.00%
68462032390,Ezetimibe-Simvastatin 10-40MG Tablet,TABS,4,0.00%,1,0.00%,  159 ,0.00%
69097082412,Citalopram Hydrobromide 40MG Tablet,TABS,8,0.01%,4,0.01%,  159 ,0.00%
50090668000,Amoxicillin 400MG/5ML Suspension Reconstituted,SUSR,8,0.01%,8,0.01%,  159 ,0.00%
59651034830,Leflunomide 10MG Tablet,TABS,5,0.00%,2,0.00%,  159 ,0.00%
24208050801,Loteprednol Etabonate 0.5% Gel,GEL,1,0.00%,1,0.00%,  159 ,0.00%
16571011501,hydrOXYzine HCl 50MG Tablet,TABS,11,0.01%,7,0.01%,  159 ,0.00%
45802004635,Gentamicin Sulfate 0.1% Ointment,OINT,3,0.00%,2,0.00%,  159 ,0.00%
00115992001,Dexmethylphenidate HCl ER 15MG Capsule Extended Release 24 Hour,CP24,3,0.00%,2,0.00%,  159 ,0.00%
67877024601,QUEtiapine Fumarate 200MG Tablet,TABS,10,0.01%,3,0.01%,  159 ,0.00%
68462022401,Lithium Carbonate ER 450MG Tablet Extended Release,TBCR,11,0.01%,3,0.01%,  158 ,0.00%
63323059616,Glucagon HCl (Diagnostic) 1MG Solution Reconstituted,SOLR,1,0.00%,1,0.00%,  158 ,0.00%
61314014305,Brimonidine Tartrate 0.2% Solution,SOLN,4,0.00%,1,0.00%,  158 ,0.00%
31722072830,Montelukast Sodium 5MG Tablet Chewable,CHEW,4,0.00%,1,0.00%,  158 ,0.00%
68180031906,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,TB24,5,0.00%,4,0.01%,  158 ,0.00%
00456074513,AeroChamber Plus Flo-Vu w/Mask  Miscellaneous,MISC,1,0.00%,1,0.00%,  158 ,0.00%
69452034572,SUMAtriptan Succinate 50MG Tablet,TABS,9,0.01%,4,0.01%,  158 ,0.00%
70377002811,Atorvastatin Calcium 20MG Tablet,TABS,7,0.01%,7,0.01%,  158 ,0.00%
68001056603,Potassium Chloride Crys ER 10MEQ Tablet Extended Release,TBCR,5,0.00%,3,0.01%,  158 ,0.00%
16714014201,ARIPiprazole 5MG Tablet,TABS,4,0.00%,2,0.00%,  158 ,0.00%
65862066330,ARIPiprazole 10MG Tablet,TABS,5,0.00%,2,0.00%,  158 ,0.00%
60505016809,Pravastatin Sodium 10MG Tablet,TABS,13,0.01%,5,0.01%,  158 ,0.00%
53885004601,OneTouch Ultra 2 w/Device Kit,KIT,6,0.01%,6,0.01%,  158 ,0.00%
68382025501,Oxybutynin Chloride ER 5MG Tablet Extended Release 24 HR,TB24,12,0.01%,6,0.01%,  158 ,0.00%
69452036320,Desloratadine 5MG Tablet,TABS,3,0.00%,2,0.00%,  157 ,0.00%
59651030801,FLUoxetine HCl 10MG Tablet,TABS,6,0.01%,3,0.01%,  157 ,0.00%
62332050606,Azelastine HCl 0.05% Solution,SOLN,3,0.00%,1,0.00%,  157 ,0.00%
65649040002,Plenvu 140GM Solution Reconstituted,SOLR,1,0.00%,1,0.00%,  157 ,0.00%
00527217037,Diclofenac Sodium ER 100MG Tablet Extended Release 24 HR,TB24,4,0.00%,2,0.00%,  157 ,0.00%
16714062801,Ciprofloxacin-Dexamethasone 0.3-0.1% Suspension,SUSP,1,0.00%,1,0.00%,  157 ,0.00%
27808020701,Febuxostat 80MG Tablet,TABS,2,0.00%,1,0.00%,  157 ,0.00%
27241013436,Cholestyramine 4GM Packet,PACK,3,0.00%,3,0.01%,  157 ,0.00%
43598016530,OLANZapine 7.5MG Tablet,TABS,11,0.01%,1,0.00%,  157 ,0.00%
51672130406,Terconazole 0.4% Cream,CREA,5,0.00%,4,0.01%,  157 ,0.00%
68788643706,Sertraline HCl 25MG Tablet,TABS,3,0.00%,3,0.01%,  157 ,0.00%
29300024618,busPIRone HCl 15MG Tablet,TABS,5,0.00%,2,0.00%,  157 ,0.00%
50228014590,buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR,TB24,5,0.00%,3,0.01%,  156 ,0.00%
67457019700,Tranexamic Acid 1000MG/10ML Solution,SOLN,1,0.00%,1,0.00%,  156 ,0.00%
70010006501,metFORMIN HCl 1000MG Tablet,TABS,9,0.01%,4,0.01%,  156 ,0.00%
13668048750,Minocycline HCl 100MG Tablet,TABS,2,0.00%,2,0.00%,  156 ,0.00%
33342005710,Irbesartan-hydroCHLOROthiazide 150-12.5MG Tablet,TABS,3,0.00%,2,0.00%,  156 ,0.00%
43598083005,Atorvastatin Calcium 10MG Tablet,TABS,10,0.01%,5,0.01%,  156 ,0.00%
00093081005,Nortriptyline HCl 10MG Capsule,CAPS,9,0.01%,3,0.01%,  156 ,0.00%
68682010810,NIFEdipine ER Osmotic Release 30MG Tablet Extended Release 24 HR,TB24,4,0.00%,2,0.00%,  156 ,0.00%
42385094911,metFORMIN HCl 1000MG Tablet,TABS,22,0.02%,9,0.02%,  156 ,0.00%
49502019671,Semglee 100UNIT/ML Solution Pen-injector,SOPN,1,0.00%,1,0.00%,  156 ,0.00%
00068243210,#N/A,#N/A,1,0.00%,1,0.00%,  156 ,0.00%
75834025801,Atorvastatin Calcium 80MG Tablet,TABS,12,0.01%,7,0.01%,  156 ,0.00%
27241011904,Fenofibrate Micronized 134MG Capsule,CAPS,8,0.01%,4,0.01%,  156 ,0.00%
60846081101,Unithroid 200MCG Tablet,TABS,3,0.00%,1,0.00%,  156 ,0.00%
16729027210,Prasugrel HCl 5MG Tablet,TABS,7,0.01%,1,0.00%,  156 ,0.00%
68462012705,Gabapentin 800MG Tablet,TABS,6,0.01%,2,0.00%,  156 ,0.00%
65862093988,Aurovela 1/20 1-20MG-MCG Tablet,TABS,6,0.01%,2,0.00%,  156 ,0.00%
51672129803,Ketoconazole 2% Cream,CREA,5,0.00%,4,0.01%,  156 ,0.00%
65162076410,Warfarin Sodium 3MG Tablet,TABS,3,0.00%,1,0.00%,  156 ,0.00%
00338004948,Sodium Chloride 0.9% Solution,SOLN,6,0.01%,5,0.01%,  155 ,0.00%
67877032005,Ibuprofen 600MG Tablet,TABS,19,0.02%,12,0.02%,  155 ,0.00%
00093614882,Camrese Lo 0.1-0.02 & 0.01MG Tablet,TABS,3,0.00%,1,0.00%,  155 ,0.00%
21922006315,Triamcinolone Acetonide 0.1% Ointment,OINT,5,0.00%,4,0.01%,  155 ,0.00%
82182032105,Brimonidine Tartrate 0.1% Solution,SOLN,1,0.00%,1,0.00%,  155 ,0.00%
63629194901,Fluconazole 200MG Tablet,TABS,1,0.00%,1,0.00%,  155 ,0.00%
65162027210,Sulfamethoxazole-Trimethoprim 800-160MG Tablet,TABS,13,0.01%,10,0.02%,  155 ,0.00%
00143975425,methylPREDNISolone Sodium Succ 125MG Solution Reconstituted,SOLR,1,0.00%,1,0.00%,  155 ,0.00%
69117004102,busPIRone HCl 10MG Tablet,TABS,6,0.01%,2,0.00%,  155 ,0.00%
64980051505,Ofloxacin 0.3% Solution,SOLN,7,0.01%,7,0.01%,  155 ,0.00%
65862013399,hydroCHLOROthiazide 25MG Tablet,TABS,23,0.02%,7,0.01%,  155 ,0.00%
67877073560,Lacosamide 150MG Tablet,TABS,1,0.00%,1,0.00%,  155 ,0.00%
42192034001,Hyoscyamine Sulfate 0.125MG Tablet,TABS,7,0.01%,7,0.01%,  155 ,0.00%
00168027740,Clindamycin Phosphate 2% Cream,CREA,1,0.00%,1,0.00%,  155 ,0.00%
10135076330,Loratadine 10MG Tablet,TABS,69,0.06%,43,0.07%,  155 ,0.00%
68382000610,lamoTRIgine 25MG Tablet,TABS,12,0.01%,5,0.01%,  155 ,0.00%
29300046810,cloNIDine HCl 0.1MG Tablet,TABS,13,0.01%,7,0.01%,  155 ,0.00%
69584009350,busPIRone HCl 15MG Tablet,TABS,7,0.01%,5,0.01%,  155 ,0.00%
59651053905,Isosorbide Mononitrate ER 30MG Tablet Extended Release 24 HR,TB24,10,0.01%,7,0.01%,  154 ,0.00%
45802011214,Mupirocin 2% Ointment,OINT,9,0.01%,9,0.02%,  154 ,0.00%
00527150537,Amphetamine-Dextroamphetamine 20MG Tablet,TABS,5,0.00%,4,0.01%,  154 ,0.00%
65862078190,Olmesartan Medoxomil-HCTZ 40-25MG Tablet,TABS,3,0.00%,2,0.00%,  154 ,0.00%
67877072990,Venlafaxine HCl ER 225MG Tablet Extended Release 24 HR,TB24,1,0.00%,1,0.00%,  154 ,0.00%
65862080730,Armodafinil 250MG Tablet,TABS,4,0.00%,1,0.00%,  154 ,0.00%
43975027810,Amphetamine-Dextroamphet ER 10MG Capsule Extended Release 24 Hour,CP24,6,0.01%,6,0.01%,  154 ,0.00%
16729045415,Levothyroxine Sodium 137MCG Tablet,TABS,9,0.01%,6,0.01%,  154 ,0.00%
43547029010,buPROPion HCl ER (SR) 200MG Tablet Extended Release 12 HR,TB12,10,0.01%,2,0.00%,  154 ,0.00%
51672130200,Terconazole 0.8% Cream,CREA,5,0.00%,5,0.01%,  154 ,0.00%
68462010430,Fluconazole 200MG Tablet,TABS,6,0.01%,6,0.01%,  154 ,0.00%
00378395277,Atorvastatin Calcium 40MG Tablet,TABS,6,0.01%,3,0.01%,  154 ,0.00%
24658026697,Cholestyramine 4GM/DOSE Powder,POWD,3,0.00%,1,0.00%,  153 ,0.00%
65862029399,Rosuvastatin Calcium 5MG Tablet,TABS,6,0.01%,6,0.01%,  153 ,0.00%
49884011174,ALPRAZolam 0.5MG Tablet Disintegrating,TBDP,1,0.00%,1,0.00%,  153 ,0.00%
